Municipio,Distancia_km
Azcapotzalco,23.508190797868718
Coyoacán,5.632226712767466
Cuajimalpa de Morelos,18.779083788903062
Gustavo A. Madero,25.27105653624541
Iztacalco,14.106609006564566
Iztapalapa,11.806047553314336
La Magdalena Contreras,13.591190151566215
Milpa Alta,17.82058973365164
Álvaro Obregón,13.060821407010863
Tláhuac,14.355302955852414
Tlalpan,11.177756160368755
Xochimilco,6.236330248227816
Benito Juárez,11.71249887149131
Cuauhtémoc,17.13329452410734
Miguel Hidalgo,18.084848017768802
Venustiano Carranza,17.687515469786234
